Time,Input,Temperature,Set Point
338,50,23.937,60
339,50,23.937,60
340,50,23.937,60
341,50,23.937,60
342,50,23.937,60
343,50,23.937,60
344,50,23.937,60
345,50,23.937,60
346,50,23.937,60
347,50,23.937,60
348,50,23.937,60
349,50,23.937,60
350,50,23.937,60
351,50,23.937,60
352,50,23.937,60
353,50,23.937,60
354,50,23.937,60
355,50,23.937,60
356,50,23.937,60
357,50,23.937,60
358,50,23.937,60
359,50,23.937,60
360,50,23.937,60
361,50,23.937,60
362,50,23.937,60
363,50,23.937,60
364,50,23.937,60
365,50,23.937,60
366,50,23.937,60
367,50,23.937,60
368,50,23.937,60
369,50,23.937,60
370,50,23.937,60
371,50,23.937,60
372,50,23.937,60
373,50,23.937,60
374,50,23.937,60
375,50,23.937,60
376,50,23.937,60
377,50,23.937,60
378,50,23.937,60
379,50,23.937,60
380,50,23.937,60
381,50,23.937,60
382,50,23.937,60
383,50,23.937,60
384,50,23.937,60
385,50,23.937,60
386,50,23.937,60
387,50,23.937,60
388,50,23.937,60
389,50,23.937,60
390,50,23.937,60
391,50,23.937,60
392,50,23.937,60
393,50,23.937,60
394,50,23.937,60
395,50,23.937,60
396,50,23.937,60
397,50,23.937,60
398,50,23.937,60
399,50,23.937,60
400,50,23.937,60
401,50,23.937,60
402,50,23.937,60
403,50,23.937,60
404,50,23.937,60
405,50,23.937,60
406,50,23.937,60
407,50,23.937,60
408,50,23.937,60
409,50,23.937,60
410,50,23.937,60
411,50,23.937,60
412,50,23.937,60
413,50,23.937,60
414,50,23.937,60
415,50,23.937,60
416,50,23.937,60
